date,USD
31/8/2023,4.6455
1/9/2023,4.6445
2/9/2023,4.6445
3/9/2023,4.6445
4/9/2023,4.655
5/9/2023,4.6625
6/9/2023,4.6725
7/9/2023,4.6785
8/9/2023,4.676
9/9/2023,4.676
10/9/2023,4.676
11/9/2023,4.673
12/9/2023,4.6775
13/9/2023,4.681
14/9/2023,4.6815
15/9/2023,4.684
16/9/2023,4.684
17/9/2023,4.684
18/9/2023,4.6905
19/9/2023,4.6965
20/9/2023,4.6855
21/9/2023,4.689
22/9/2023,4.6875
23/9/2023,4.6875
24/9/2023,4.6875
25/9/2023,4.6845
26/9/2023,4.69
27/9/2023,4.7045
28/9/2023,4.7045
29/9/2023,4.692
30/9/2023,4.692
1/10/2023,4.692
2/10/2023,4.712
3/10/2023,4.7195
4/10/2023,4.7315
5/10/2023,4.73
6/10/2023,4.7165
7/10/2023,4.7165
8/10/2023,4.7165
9/10/2023,4.7338
10/10/2023,4.7285
11/10/2023,4.723
12/10/2023,4.717
13/10/2023,4.729
14/10/2023,4.729
15/10/2023,4.729
16/10/2023,4.736
17/10/2023,4.736
18/10/2023,4.743
19/10/2023,4.766
20/10/2023,4.767
21/10/2023,4.767
22/10/2023,4.767
23/10/2023,4.788
24/10/2023,4.785
25/10/2023,4.779
26/10/2023,4.787
27/10/2023,4.778
28/10/2023,4.778
29/10/2023,4.778
30/10/2023,4.7655
31/10/2023,4.764
1/11/2023,4.771
2/11/2023,4.753
3/11/2023,4.7335
4/11/2023,4.7335
5/11/2023,4.7335
6/11/2023,4.6375
7/11/2023,4.6715
8/11/2023,4.6825
9/11/2023,4.692
10/11/2023,4.7065
11/11/2023,4.7065
12/11/2023,4.7065
13/11/2023,4.7065
14/11/2023,4.7225
15/11/2023,4.6665
16/11/2023,4.692
17/11/2023,4.6805
18/11/2023,4.6805
19/11/2023,4.6805
20/11/2023,4.6725
21/11/2023,4.651
22/11/2023,4.6815
23/11/2023,4.678
24/11/2023,4.6845
25/11/2023,4.6845
26/11/2023,4.6845
27/11/2023,4.678
28/11/2023,4.6715
29/11/2023,4.6575
30/11/2023,4.6615
1/12/2023,4.6815
2/12/2023,4.6815
3/12/2023,4.6815
4/12/2023,4.6605
5/12/2023,4.6635
6/12/2023,4.6685
7/12/2023,4.674
8/12/2023,4.6645
9/12/2023,4.6645
10/12/2023,4.6645
11/12/2023,4.6825
12/12/2023,4.6845
13/12/2023,4.7065
14/12/2023,4.6725
15/12/2023,4.6705
16/12/2023,4.6705
17/12/2023,4.6705
18/12/2023,4.6945
19/12/2023,4.6815
20/12/2023,4.6575
21/12/2023,4.6555
22/12/2023,4.631
23/12/2023,4.631
24/12/2023,4.631
25/12/2023,4.631
26/12/2023,4.632
27/12/2023,4.633
28/12/2023,4.609
29/12/2023,4.59
30/12/2023,4.59
31/12/2023,4.59
1/1/2024,4.59
2/1/2024,4.5998
3/1/2024,4.6355
4/1/2024,4.6375
5/1/2024,4.6505
6/1/2024,4.6505
7/1/2024,4.6505
8/1/2024,4.651
9/1/2024,4.6453
10/1/2024,4.6465
11/1/2024,4.642
12/1/2024,4.6465
13/1/2024,4.6465
14/1/2024,4.6465
15/1/2024,4.6675
16/1/2024,4.688
17/1/2024,4.7175
18/1/2024,4.7175
19/1/2024,4.7195
20/1/2024,4.7195
21/1/2024,4.7195
22/1/2024,4.7285
23/1/2024,4.7275
24/1/2024,4.7355
25/1/2024,4.7355
26/1/2024,4.7275
27/1/2024,4.7275
28/1/2024,4.7275
29/1/2024,4.7345
30/1/2024,4.7275
31/1/2024,4.7295
1/2/2024,4.7295
2/2/2024,4.7225
3/2/2024,4.7225
4/2/2024,4.7225
5/2/2024,4.7545
6/2/2024,4.7655
7/2/2024,4.7595
8/2/2024,4.7695
9/2/2024,4.7655
10/2/2024,4.7655
11/2/2024,4.7655
12/2/2024,4.7655
13/2/2024,4.766
14/2/2024,4.7859
15/2/2024,4.7805
16/2/2024,4.7775
17/2/2024,4.7775
18/2/2024,4.7775
19/2/2024,4.7845
20/2/2024,4.7975
21/2/2024,4.7975
22/2/2024,4.7725
23/2/2024,4.7785
24/2/2024,4.7785
25/2/2024,4.7785
26/2/2024,4.777
27/2/2024,4.7705
28/2/2024,4.7675
29/2/2024,4.7525
1/3/2024,4.7415
2/3/2024,4.7415
3/3/2024,4.7415
4/3/2024,4.729
5/3/2024,4.731
6/3/2024,4.731
7/3/2024,4.6985
8/3/2024,4.6895
9/3/2024,4.6895
10/3/2024,4.6895
11/3/2024,4.6795
12/3/2024,4.679
13/3/2024,4.6885
14/3/2024,4.686
15/3/2024,4.7045
16/3/2024,4.7045
17/3/2024,4.7045
18/3/2024,4.7185
19/3/2024,4.7325
20/3/2024,4.739
21/3/2024,4.7145
22/3/2024,4.739
23/3/2024,4.739
24/3/2024,4.739
25/3/2024,4.7255
26/3/2024,4.72
27/3/2024,4.731
28/3/2024,4.731
29/3/2024,4.7205
30/3/2024,4.7205
31/3/2024,4.7205
1/4/2024,4.729
2/4/2024,4.752
3/4/2024,4.7535
4/4/2024,4.7395
5/4/2024,4.7465
6/4/2024,4.7465
7/4/2024,4.7465
8/4/2024,4.756
9/4/2024,4.7535
10/4/2024,4.7535
11/4/2024,4.7535
12/4/2024,4.77
13/4/2024,4.77
14/4/2024,4.77
15/4/2024,4.779
16/4/2024,4.7925
17/4/2024,4.7915
18/4/2024,4.7835
19/4/2024,4.783
20/4/2024,4.783
21/4/2024,4.783
22/4/2024,4.7825
23/4/2024,4.7775
24/4/2024,4.778
25/4/2024,4.78
26/4/2024,4.7675
27/4/2024,4.7675
28/4/2024,4.7675
29/4/2024,4.7695
30/4/2024,4.77
1/5/2024,4.77
2/5/2024,4.7535
3/5/2024,4.7415
4/5/2024,4.7415
5/5/2024,4.7415
6/5/2024,4.74
7/5/2024,4.7375
8/5/2024,4.7465
9/5/2024,4.7395
10/5/2024,4.739
11/5/2024,4.739
12/5/2024,4.739
13/5/2024,4.733
14/5/2024,4.7195
15/5/2024,4.7035
16/5/2024,4.6845
17/5/2024,4.6875
18/5/2024,4.6875
19/5/2024,4.6875
20/5/2024,4.685
21/5/2024,4.6935
22/5/2024,4.6935
23/5/2024,4.712
24/5/2024,4.7135
25/5/2024,4.7135
26/5/2024,4.7135
27/5/2024,4.6985
28/5/2024,4.6965
29/5/2024,4.7075
30/5/2024,4.707
31/5/2024,4.707
1/6/2024,4.707
2/6/2024,4.707
3/6/2024,4.707
4/6/2024,4.7
5/6/2024,4.696
6/6/2024,4.6945
7/6/2024,4.6925
8/6/2024,4.6925
9/6/2024,4.6925
10/6/2024,4.722
11/6/2024,4.721
12/6/2024,4.7175
13/6/2024,4.7075
14/6/2024,4.715
15/6/2024,4.715
16/6/2024,4.715
17/6/2024,4.715
18/6/2024,4.714
19/6/2024,4.708
20/6/2024,4.7105
21/6/2024,4.7095
22/6/2024,4.7095
23/6/2024,4.7095
24/6/2024,4.711
25/6/2024,4.7025
26/6/2024,4.7125
27/6/2024,4.7225
28/6/2024,4.7195
29/6/2024,4.7195
30/6/2024,4.7195
1/7/2024,4.713
2/7/2024,4.7215
3/7/2024,4.719
4/7/2024,4.7095
5/7/2024,4.709
6/7/2024,4.709
7/7/2024,4.709
8/7/2024,4.709
9/7/2024,4.7095
10/7/2024,4.7035
11/7/2024,4.6885
12/7/2024,4.6675
13/7/2024,4.6675
14/7/2024,4.6675
15/7/2024,4.6705
16/7/2024,4.6775
17/7/2024,4.6635
18/7/2024,4.6675
19/7/2024,4.6875
20/7/2024,4.6875
21/7/2024,4.6875
22/7/2024,4.6805
23/7/2024,4.672
24/7/2024,4.6725
25/7/2024,4.663
26/7/2024,4.6555
27/7/2024,4.6555
28/7/2024,4.6555
29/7/2024,4.639
30/7/2024,4.6175
31/7/2024,4.593
1/8/2024,4.571
2/8/2024,4.4975
3/8/2024,4.4975
4/8/2024,4.4975
5/8/2024,4.43
6/8/2024,4.471
7/8/2024,4.4905
8/8/2024,4.475
9/8/2024,4.4265
10/8/2024,4.4265
11/8/2024,4.4265
12/8/2024,4.455
13/8/2024,4.4505
14/8/2024,4.425
15/8/2024,4.432
16/8/2024,4.4325
17/8/2024,4.4325
18/8/2024,4.4325
19/8/2024,4.3815
20/8/2024,4.375
21/8/2024,4.374
22/8/2024,4.38
23/8/2024,4.375
24/8/2024,4.375
25/8/2024,4.375
26/8/2024,4.349
27/8/2024,4.3505
28/8/2024,4.343
29/8/2024,4.323
30/8/2024,4.316
31/8/2024,4.316
1/9/2024,4.316
2/9/2024,4.3465
3/9/2024,4.3665
4/9/2024,4.355
5/9/2024,4.3375
6/9/2024,4.331
7/9/2024,4.331
8/9/2024,4.331
9/9/2024,4.3675
10/9/2024,4.343
11/9/2024,4.3325
12/9/2024,4.335
13/9/2024,4.3075
14/9/2024,4.3075
15/9/2024,4.3075
16/9/2024,4.3075
17/9/2024,4.269
18/9/2024,4.245
19/9/2024,4.225
20/9/2024,4.1935
21/9/2024,4.1935
22/9/2024,4.1935
23/9/2024,4.208
24/9/2024,4.152
25/9/2024,4.1375
26/9/2024,4.1435
27/9/2024,4.1205
28/9/2024,4.1205
29/9/2024,4.1205
30/9/2024,4.122
1/10/2024,4.1715
2/10/2024,4.166
3/10/2024,4.2165
4/10/2024,4.216
5/10/2024,4.216
6/10/2024,4.216
7/10/2024,4.285
8/10/2024,4.2875
9/10/2024,4.2875
10/10/2024,4.2925
11/10/2024,4.2835
12/10/2024,4.2835
13/10/2024,4.2835
14/10/2024,4.296
15/10/2024,4.31
16/10/2024,4.293
17/10/2024,4.313
18/10/2024,4.304
19/10/2024,4.304
20/10/2024,4.304
21/10/2024,4.3005
22/10/2024,4.324
23/10/2024,4.35
24/10/2024,4.3505
25/10/2024,4.34
26/10/2024,4.34
27/10/2024,4.34
28/10/2024,4.3625
29/10/2024,4.37
30/10/2024,4.3815
31/10/2024,4.3815
1/11/2024,4.38
2/11/2024,4.38
3/11/2024,4.38
4/11/2024,4.373
5/11/2024,4.346
6/11/2024,4.4025
7/11/2024,4.4045
8/11/2024,4.383
9/11/2024,4.383
10/11/2024,4.383
11/11/2024,4.4125
12/11/2024,4.437
13/11/2024,4.454
14/11/2024,4.4845
15/11/2024,4.469
16/11/2024,4.469
17/11/2024,4.469
18/11/2024,4.482
19/11/2024,4.469
20/11/2024,4.4675
21/11/2024,4.46
22/11/2024,4.4645
23/11/2024,4.4645
24/11/2024,4.4645
